RA,CÓDIFO DE TURMA,TURMA INDEFERIDA,MOTIVO,NOME_TURMA,TURNO,CAMPOS,ANO_INGRESSO
11008415,NA1BIQ0602-15SA,Estrutura e Dinâmica Social A1-Noturno (Santo André),Critério de preenchimento de vagas,Estrutura e Dinâmica Social,N,SA,2015
11008415,NA2MCTA025-13SA,Sistemas Distribuídos A2-Noturno (Santo André),Critério de preenchimento de vagas,Sistemas Distribuídos,N,SA,2015
11008415,NA1MCTA007-17SA,Compiladores A1-Noturno (Santo André),Critério de preenchimento de vagas,Compiladores,N,SA,2015
11008515,DAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Engenharia Econômica Aplicada a Sistemas de Gestão,D,SB,2015
11008516,DAESZM027-17SA,Materiais para Energia e Ambiente A-Matutino (Santo André),Critério de preenchimento de vagas,Materiais para Energia e Ambiente,D,SA,2016
11008611,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2011
11008611,NAESTG002-17SB,Desenvolvimento Integrado do Produto A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Desenvolvimento Integrado do Produto,N,SB,2011
11008611,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2011
11008711,NAESZM032-17SA,Biomateriais A-Noturno (Santo André),Critério de preenchimento de vagas,Biomateriais,N,SA,2011
11008815,NAESZG037-17SB,Inovação Estratégica A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Inovação Estratégica,N,SB,2015
11008815,NAESTG024-17SB,Sistemas de Informação Corporativos A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Sistemas de Informação Corporativos,N,SB,2015
11008815,NAESZG032-17SA,Modelos e Ferramentas de Gestão Ambiental A-Noturno (Santo André),Critério de preenchimento de vagas,Modelos e Ferramentas de Gestão Ambiental,N,SA,2015
11008815,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André),Critério de preenchimento de vagas,Mecânica dos Sólidos I,N,SA,2015
11008815,NAESZG018-17SB,Estratégias de Comunicação Organizacional A-Noturno (São Bernardo do Campo),Critério de preenchimento de vagas,Estratégias de Comunicação Organizacional,N,SB,2015
11008914,NA1MCTA016-13SA,Paradigmas de Programação A1-Noturno (Santo André),Critério de preenchimento de vagas,Paradigmas de Programação,N,SA,2014
11009016,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André),Critério de preenchimento de vagas,Princípios de Administração,N,SA,2016
11009016,DAESTS004-17SB,Desempenho de Aeronaves A-Matutino (São Bernardo do Campo),Critério de preenchimento de vagas,Desempenho de Aeronaves,D,SB,2016
11009115,DAESTG004-17SB,"Elaboração, Análise e Avaliação de Projetos A-Matutino (São Bernardo do Campo)",Critério de preenchimento de vagas,"Elaboração, Análise e Avaliação de Projetos",D,SB,2015
